사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022072300100037,2022년 7월 23일 03시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,46세,경상
2022072300100355,2022년 7월 23일 17시,토요일,경기도 수원시 권선구 세류동,중상사고,0,1,5,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,화물,남,43세,상해없음,승용,남,44세,경상
2022072300100373,2022년 7월 23일 18시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,이륜,남,21세,중상
2022072300100505,2022년 7월 23일 22시,토요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,77세,상해없음,보행자,남,59세,중상
2022072400100008,2022년 7월 24일 00시,일요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,42세,경상
2022072400100029,2022년 7월 24일 02시,일요일,경기도 수원시 영통구 하동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,남,54세,경상
2022072400100091,2022년 7월 24일 10시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,35세,기타불명,승용,여,43세,경상
2022072400100092,2022년 7월 24일 10시,일요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,이륜,남,41세,경상
2022072400100142,2022년 7월 24일 13시,일요일,경기도 수원시 장안구 송죽동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,경상,승용,남,53세,경상
2022072400100175,2022년 7월 24일 14시,일요일,경기도 수원시 권선구 세류동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,57세,상해없음,승용,남,34세,경상
2022072400100202,2022년 7월 24일 15시,일요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,43세,상해없음,보행자,여,31세,경상
2022072400100387,2022년 7월 24일 22시,일요일,경기도 수원시 장안구 영화동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,여,29세,경상
2022072500100009,2022년 7월 25일 01시,월요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,기타 - 기타,승용,남,27세,상해없음,승용,남,73세,중상
2022072500100052,2022년 7월 25일 07시,월요일,경기도 용인시 기흥구 영덕동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,73세,상해없음,자전거,여,72세,중상
2022072500100275,2022년 7월 25일 13시,월요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,23세,상해없음,승용,남,27세,경상
