년도,광역시도명,전체온실가스배출량,1인당인구배출량,관리업체1개당 온실가스배출량,사업장1개당온실가스 배출량
2013,서울특별시,11547957,1.138,39145.617,2997.134
2013,부산광역시,9979261,2.829,78576.858,16467.427
2013,대구광역시,3164014,1.265,29296.426,7256.913
2013,인천광역시,51689712,17.949,423686.164,94669.802
2013,광주광역시,1922816,1.305,21850.182,6891.814
2013,대전광역시,4150319,2.708,34876.63,11926.204
2013,울산광역시,47895041,41.415,339681.142,150613.336
2013,세종특별자치시,1082797,8.864,41646.038,25181.326
2013,경기도,44022688,3.598,140199.643,16178.864
2013,강원도,38199730,24.769,335085.351,77641.728
2013,충청북도,21955424,13.96,146369.493,39417.278
2013,충청남도,140923975,68.823,886314.308,276864.391
2013,전라북도,14432692,7.706,95580.742,30707.855
2013,전라남도,87810992,46.043,686023.375,180310.045
2013,경상북도,51387944,19.037,277772.67,69537.137
2013,경상남도,59519770,17.853,346045.174,76503.56
2013,제주특별자치도,2407026,4.054,42982.607,10990.986
2012,서울특별시,11587188,1.137,40094.076,3754.76
2012,부산광역시,8977778,2.537,74196.512,13984.078
2012,대구광역시,3042149,1.214,29535.427,6542.256
2012,인천광역시,50233761,17.663,425709.839,90511.281
2012,광주광역시,1751523,1.192,21102.687,5897.384
2012,대전광역시,3875209,2.542,34911.793,10916.082
2012,울산광역시,48489238,42.265,356538.515,151528.869
2012,세종특별자치시,362902,3.208,32991.091,22681.375
2012,경기도,40185913,3.323,140020.603,14634.346
2012,강원도,38989652,25.34,364389.271,79570.718
2012,충청북도,20711078,13.229,144832.713,39151.376
2012,충청남도,134496827,66.295,879064.229,257656.757
2012,전라북도,14039194,7.494,98176.182,29309.382
2012,전라남도,88937988,46.574,747378.05,171694.958
2012,경상북도,51037897,18.914,289988.051,68970.131
2012,경상남도,59454138,17.912,362525.232,74224.891
2012,제주특별자치도,2336978,4.004,44093.925,9944.587
2011,서울특별시,10877161,1.061,39267.729,4277.295
2011,부산광역시,9059477,2.551,78778.061,17798.58
2011,대구광역시,2998517,1.196,31234.552,8104.1
2011,인천광역시,47842538,17.079,438922.367,105846.323
2011,광주광역시,1696659,1.159,22324.461,7474.269
2011,대전광역시,4001244,2.64,38473.5,13382.087
2011,울산광역시,46167077,40.658,363520.291,176210.218
2011,세종특별자치시,246362,,30795.25,30795.25
2011,경기도,36261411,3.038,138402.332,17308.549
2011,강원도,39305692,25.582,401078.49,104259.13
2011,충청북도,19541616,12.503,145832.955,57475.341
2011,충청남도,135905423,64.677,957080.444,358589.507
2011,전라북도,13879245,7.406,104355.226,38553.458
2011,전라남도,85994844,44.921,761016.319,211809.961
2011,경상북도,52620139,19.495,330944.27,99283.281
2011,경상남도,59752991,18.059,383031.994,92928.446
2011,제주특별자치도,2184686,3.792,44585.429,10762
